ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Sense_ID
kgv-1645-1,,kgv,1645,tabusik,tabusik,,,,,,,,SN002268
kgv-879-1,,kgv,879,tadon,tadon,,,,,,,,SN002269
kgv-1992-2,,kgv,1992,=taet,=taet,,,,,,,,SN002274
kgv-204-3,,kgv,204,=taet,=taet,,,,,,,,SN002275
kgv-1210-1,,kgv,1210,tagier,tagier,,,,,,,,SN002277
kgv-1877-1,,kgv,1877,tagur,tagur,,,,,,,,SN002280
kgv-1186-1,,kgv,1186,tahan,tahan,,,,,,,,SN002284
kgv-682-7,,kgv,682,tai-,tai-,,,,,,,,SN002285
kgv-682-8,,kgv,682,taikon,taikon,,,,,,,,SN002286
kgv-1964-2,,kgv,1964,-tain,-tain,,,,,,,,SN002287
kgv-682-9,,kgv,682,tair,tair,,,,,,,,SN002288
kgv-628-4,,kgv,628,*tak,*tak,,,,,,,,SN002289
kgv-1580-2,,kgv,1580,=tak,=tak,,,,,,,,SN002291
kgv-2629-1,,kgv,2629,talam,talam,,,,,,,,SN002294
kgv-1877-2,,kgv,1877,talawak,talawak,,,,,,,,SN002295
kgv-762-4,,kgv,762,*talep,*talep,,,,,,,,SN002296
kgv-762-5,,kgv,762,talepko,talepko,,,,,,,,SN002297
kgv-1615-2,,kgv,1615,taluk,taluk,,,,,,,,SN002299
kgv-727-1,,kgv,727,tama,tama,,,,,,,,SN002300
kgv-1239-1,,kgv,1239,tamandi,tamandi,,,,,,,,SN002301
kgv-986-1,,kgv,986,tamatil,tamatil,,,,,,,,SN002303
kgv-1237-1,,kgv,1237,tamatko,tamatko,,,,,,,,SN002304
kgv-2928-1,,kgv,2928,tamawis,tamawis,,,,,,,,SN002305
kgv-2882-2,,kgv,2882,tamba,tamba,,,,,,,,SN002306
kgv-2546-1,,kgv,2546,tamun,tamun,,,,,,,,SN002308
kgv-1183-1,,kgv,1183,tan laus,tan_laus,,,,,,,,SN002311
kgv-1019-2,,kgv,1019,tanbes,tanbes,,,,,,,,SN002314
kgv-714-2,,kgv,714,*tang,*tang,,,,,,,,SN002315
kgv-1258-1,,kgv,1258,tanggalip,tanggalip,,,,,,,,SN002319
kgv-1374-1,,kgv,1374,tanggarara,tanggarara,,,,,,,,SN002320
kgv-1448-3,,kgv,1448,tanggo,tanggo,,,,,,,,SN002322
kgv-1226-1,,kgv,1226,tanggon,tanggon,,,,,,,,SN002323
kgv-981-1,,kgv,981,tanggul,tanggul,,,,,,,,SN002327
kgv-1156-5,,kgv,1156,tangguorma,tangguorma,,,,,,,,SN002329
kgv-702-2,,kgv,702,tangkap,tangkap,,,,,,,,SN002330
kgv-714-3,,kgv,714,tangun,tangun,,,,,,,,SN002331
kgv-1781-1,,kgv,1781,tanparoemun,tanparoemun,,,,,,,,SN002333
kgv-1303-1,,kgv,1303,tanparok,tanparok,,,,,,,,SN002334
kgv-3387-1,,kgv,3387,tanparok raorkadok,tanparok_raorkadok,,,,,,,,SN002336
kgv-577-1,,kgv,577,tansahadat,tansahadat,,,,,,,,SN002337
kgv-244-1,,kgv,244,tantayuon,tantayuon,,,,,,,,SN002339
kgv-1493-10,,kgv,1493,taon,taon,,,,,,,,SN002341
kgv-1979-1,,kgv,1979,taot,taot,,,,,,,,SN002342
kgv-1979-2,,kgv,1979,taot,taot,,,,,,,,SN002343
kgv-1411-2,,kgv,1411,taouk,taouk,,,,,,,,SN002344
kgv-1616-2,,kgv,1616,tapal,tapal,,,,,,,,SN002345
kgv-164-1,,kgv,164,tapar,tapar,,,,,,,,SN002346
kgv-1869-3,,kgv,1869,tapi,tapi,,,,,,,,SN002347
kgv-1594-1,,kgv,1594,tapong,tapong,,,,,,,,SN002348
kgv-1046-2,,kgv,1046,tara,tara,,,,,,,,SN002354
kgv-1617-1,,kgv,1617,*tara,*tara,,,,,,,,SN002356
kgv-1496-3,,kgv,1496,tara emnem,tara_emnem,,,,,,,,SN002357
kgv-1383-2,,kgv,1383,tara esnem,tara_esnem,,,,,,,,SN002358
kgv-81-1,,kgv,81,taraman,taraman,,,,,,,,SN002363
kgv-1595-1,,kgv,1595,tarangin,tarangin,,,,,,,,SN002364
kgv-588-5,,kgv,588,taraouk,taraouk,,,,,,,,SN002365
kgv-980-1,,kgv,980,tararapang,tararapang,,,,,,,,SN002368
kgv-1879-2,,kgv,1879,tarian,tarian,,,,,,,,SN002373
kgv-694-2,,kgv,694,tarima,tarima,,,,,,,,SN002374
